                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.0697,                  1.187,                 1.1742,                0.47236,                0.15212,                0.17477,                 0.1247,                 1.3441,                 2.7953,                 1.5052,               0.008911,               0.008911,               0.008911
                     35,                 1.0552,                 1.1549,                 1.1675,                0.42323,                0.16656,                0.18871,                0.12949,                 1.3621,                 2.6597,                 1.5515,               0.008878,               0.008878,               0.008878
                     36,                 1.0462,                 1.1408,                 1.1607,                0.45505,                0.16068,                0.17896,                0.12622,                 1.3185,                 2.7101,                 1.4762,               0.008845,               0.008845,               0.008845
                     37,                 1.0348,                 1.1165,                  1.156,                0.39217,                0.15842,                0.17223,                0.12045,                 1.3781,                 2.8282,                 1.5113,               0.008812,               0.008812,               0.008812
                     38,                 1.0273,                 1.0925,                  1.153,                0.40416,                0.16852,                0.18578,                0.13135,                 1.2865,                 2.6718,                 1.4337,               0.008779,               0.008779,               0.008779
                     39,                 1.0207,                  1.077,                 1.1456,                0.44578,                0.16284,                0.18193,                0.12781,                 1.3654,                 2.7492,                 1.5058,               0.008746,               0.008746,               0.008746
                     40,                 1.0152,                  1.072,                 1.1396,                0.43139,                0.16353,                0.18061,                0.12815,                 1.3059,                 2.7012,                 1.4871,               0.008713,               0.008713,               0.008713
                     41,                 1.0128,                 1.0684,                 1.1428,                0.40458,                 0.1545,                0.17297,                0.11963,                 1.3807,                 2.7899,                 1.5312,                0.00868,                0.00868,                0.00868
                     42,                  1.002,                 1.0367,                 1.1378,                0.40695,                0.16233,                0.17967,                0.12605,                 1.3158,                 2.7757,                 1.4528,               0.008647,               0.008647,               0.008647
                     43,                0.99783,                 1.0322,                 1.1351,                0.45055,                0.16058,                0.18757,                0.13418,                 1.2972,                 2.5977,                 1.4414,               0.008614,               0.008614,               0.008614
                     44,                0.98511,                 1.0212,                 1.1293,                0.45785,                0.15347,                0.17451,                0.12665,                 1.3256,                 2.8189,                 1.4579,               0.008581,               0.008581,               0.008581
                     45,                0.98798,                 1.0046,                 1.1274,                 0.4316,                0.16295,                0.18304,                0.12903,                  1.299,                  2.675,                 1.4357,               0.008548,               0.008548,               0.008548
                     46,                0.97931,                0.98256,                 1.1187,                  0.413,                0.15563,                0.17671,                0.12501,                 1.3233,                 2.6822,                 1.4601,               0.008515,               0.008515,               0.008515
                     47,                0.97193,                0.98486,                 1.1229,                0.45438,                0.16259,                 0.1859,                0.13124,                 1.3469,                 2.7057,                 1.4755,               0.008482,               0.008482,               0.008482
                     48,                0.96344,                 0.9684,                 1.1136,                0.44295,                 0.1514,                0.17357,                0.12274,                  1.332,                 2.8025,                 1.4819,               0.008449,               0.008449,               0.008449
                     49,                0.96227,                0.95667,                 1.1158,                0.47252,                0.16566,                0.18838,                0.13716,                 1.3311,                 2.6666,                 1.4868,               0.008416,               0.008416,               0.008416
                     50,                0.94617,                0.93653,                 1.1035,                0.40071,                0.15821,                0.17763,                0.12329,                 1.3758,                 2.7101,                 1.5424,               0.008383,               0.008383,               0.008383
                     51,                0.95148,                0.93179,                 1.1089,                0.37425,                 0.1513,                0.16531,                0.11804,                 1.3522,                 2.8001,                  1.509,                0.00835,                0.00835,                0.00835
                     52,                0.94829,                0.92827,                 1.1058,                 0.4388,                0.15522,                0.17932,                0.12663,                 1.3902,                 2.7864,                 1.5454,               0.008317,               0.008317,               0.008317
                     53,                0.93635,                0.91194,                 1.0965,                0.45025,                0.15416,                0.17681,                0.12729,                  1.347,                 2.9484,                 1.5257,               0.008284,               0.008284,               0.008284
                     54,                0.93293,                0.90701,                 1.0983,                0.41287,                0.16058,                0.17925,                0.12594,                 1.3482,                 2.7848,                 1.5089,               0.008251,               0.008251,               0.008251
                     55,                0.93078,                0.89819,                 1.0979,                0.44262,                0.14501,                0.16631,                0.11881,                  1.347,                 2.8242,                 1.4869,               0.008218,               0.008218,               0.008218
                     56,                0.92493,                0.88799,                 1.0943,                 0.4218,                0.15419,                0.17471,                0.12522,                 1.3462,                 2.8152,                 1.5158,               0.008185,               0.008185,               0.008185
                     57,                0.90572,                0.86791,                 1.0827,                0.45599,                0.16388,                0.18917,                0.13479,                 1.3143,                 2.7168,                 1.4622,               0.008152,               0.008152,               0.008152
                     58,                0.90828,                0.86257,                  1.089,                0.37381,                0.15927,                0.17019,                0.12273,                  1.367,                 2.8885,                 1.5318,               0.008119,               0.008119,               0.008119
                     59,                0.90732,                0.85683,                 1.0842,                0.38379,                0.16007,                0.17387,                0.12405,                 1.3662,                 2.8846,                 1.5012,               0.008086,               0.008086,               0.008086
                     60,                0.89392,                0.83191,                 1.0757,                0.45963,                0.14851,                0.16963,                0.12135,                 1.3922,                 3.0205,                 1.5432,               0.008053,               0.008053,               0.008053
                     61,                0.89563,                0.83843,                 1.0752,                0.42335,                0.16048,                0.17921,                0.12663,                 1.3602,                 2.8172,                 1.5297,                0.00802,                0.00802,                0.00802
                     62,                0.89987,                0.83179,                 1.0775,                0.43214,                0.15532,                0.17914,                0.12609,                 1.3705,                 2.8177,                 1.5577,               0.007987,               0.007987,               0.007987
                     63,                0.88626,                0.82424,                 1.0759,                0.43783,                0.15264,                0.17313,                 0.1229,                 1.3484,                 2.9295,                 1.4988,               0.007954,               0.007954,               0.007954
                     64,                0.88395,                0.81405,                 1.0737,                0.44317,                0.15027,                0.17268,                0.12219,                 1.3877,                 3.0002,                 1.5274,               0.007921,               0.007921,               0.007921
                     65,                0.87513,                0.81229,                 1.0661,                0.42774,                0.15666,                0.17466,                0.12529,                 1.3534,                 2.8759,                 1.5165,               0.007888,               0.007888,               0.007888
                     66,                0.88041,                0.81456,                 1.0715,                0.39264,                0.15687,                0.17397,                0.12531,                 1.3672,                 2.8753,                 1.5082,               0.007855,               0.007855,               0.007855
                     67,                0.86882,                0.79745,                 1.0637,                0.44767,                0.14274,                 0.1641,                0.11912,                 1.3924,                 2.9646,                  1.561,               0.007822,               0.007822,               0.007822
                     68,                0.86777,                0.79744,                 1.0636,                0.37862,                0.15903,                0.17037,                0.12145,                 1.3592,                 2.8906,                 1.5188,               0.007789,               0.007789,               0.007789
                     69,                0.86098,                0.78275,                 1.0608,                 0.4498,                0.14666,                0.17067,                0.12094,                 1.3671,                 2.9893,                 1.5264,               0.007756,               0.007756,               0.007756
                     70,                0.85557,                0.77871,                 1.0573,                0.45907,                0.15387,                0.17717,                0.12445,                 1.3626,                 2.9114,                 1.5499,               0.007723,               0.007723,               0.007723
                     71,                0.85723,                0.77343,                 1.0578,                0.44468,                0.14851,                 0.1696,                0.12122,                 1.4052,                 3.0308,                 1.5789,                0.00769,                0.00769,                0.00769
                     72,                0.85606,                0.76871,                 1.0519,                0.43274,                  0.158,                0.17741,                0.12668,                 1.3766,                 2.9905,                 1.5918,               0.007657,               0.007657,               0.007657
                     73,                0.85238,                0.76706,                 1.0558,                0.40605,                0.15553,                0.17466,                0.12324,                  1.371,                 2.8757,                  1.542,               0.007624,               0.007624,               0.007624
                     74,                0.84891,                0.75493,                 1.0536,                0.40234,                0.15542,                0.17043,                0.12123,                 1.3724,                 2.9146,                  1.515,               0.007591,               0.007591,               0.007591
                     75,                0.84466,                0.74916,                 1.0517,                0.39074,                0.15522,                0.16903,                0.12144,                 1.3332,                 2.9478,                 1.5011,               0.007558,               0.007558,               0.007558
                     76,                0.83676,                0.74388,                 1.0484,                 0.4233,                0.15182,                0.17254,                0.12419,                 1.3642,                 2.9939,                  1.514,               0.007525,               0.007525,               0.007525
                     77,                0.83822,                 0.7369,                 1.0467,                0.42088,                0.15336,                0.17127,                0.12254,                 1.3508,                 3.0046,                 1.5212,               0.007492,               0.007492,               0.007492
                     78,                0.83506,                0.73038,                 1.0424,                0.41976,                0.15398,                0.17023,                 0.1225,                  1.366,                 3.0453,                 1.5421,               0.007459,               0.007459,               0.007459
                     79,                0.83049,                0.73572,                 1.0451,                0.41993,                0.15481,                0.17194,                 0.1238,                 1.3503,                 3.0229,                 1.5108,               0.007426,               0.007426,               0.007426
                     80,                0.82339,                0.72696,                 1.0386,                0.47286,                0.14253,                0.16659,                0.12064,                 1.3781,                 3.0962,                   1.56,               0.007393,               0.007393,               0.007393
                     81,                0.82219,                0.71826,                 1.0398,                0.40855,                0.14872,                0.16525,                0.11762,                 1.4124,                 3.0837,                 1.5612,                0.00736,                0.00736,                0.00736
                     82,                0.81202,                 0.7107,                  1.033,                0.42783,                0.15542,                0.17236,                0.12461,                 1.3858,                  3.036,                 1.5482,               0.007327,               0.007327,               0.007327
                     83,                0.81925,                0.70971,                 1.0367,                0.45577,                0.14787,                 0.1704,                0.12306,                 1.3788,                 3.0229,                 1.5492,               0.007294,               0.007294,               0.007294
